"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HOSPITALBED","TOT","1000HAB","A","2019",7.19,
"AUT","HOSPITALBED","TOT","1000HAB","A","2020",7.05,
"AUT","HOSPITALBED","TOT","1000HAB","A","2021",6.91,
"BEL","HOSPITALBED","TOT","1000HAB","A","2019",5.57,
"BEL","HOSPITALBED","TOT","1000HAB","A","2020",5.53,"D"
"BEL","HOSPITALBED","TOT","1000HAB","A","2021",5.49,"D"
"BEL","HOSPITALBED","TOT","1000HAB","A","2022",5.47,"D"
"CAN","HOSPITALBED","TOT","1000HAB","A","2019",2.52,
"CAN","HOSPITALBED","TOT","1000HAB","A","2020",2.55,
"CAN","HOSPITALBED","TOT","1000HAB","A","2021",2.58,
"CZE","HOSPITALBED","TOT","1000HAB","A","2019",6.63,
"CZE","HOSPITALBED","TOT","1000HAB","A","2020",6.54,
"CZE","HOSPITALBED","TOT","1000HAB","A","2021",6.66,
"DNK","HOSPITALBED","TOT","1000HAB","A","2019",2.59,
"DNK","HOSPITALBED","TOT","1000HAB","A","2020",2.59,
"DNK","HOSPITALBED","TOT","1000HAB","A","2021",2.51,
"FIN","HOSPITALBED","TOT","1000HAB","A","2019",3.35,
"FIN","HOSPITALBED","TOT","1000HAB","A","2020",2.75,"E"
"FIN","HOSPITALBED","TOT","1000HAB","A","2021",2.76,"E"
"FRA","HOSPITALBED","TOT","1000HAB","A","2019",5.81,
"FRA","HOSPITALBED","TOT","1000HAB","A","2020",5.72,
"FRA","HOSPITALBED","TOT","1000HAB","A","2021",5.65,
"DEU","HOSPITALBED","TOT","1000HAB","A","2019",7.91,
"DEU","HOSPITALBED","TOT","1000HAB","A","2020",7.82,
"DEU","HOSPITALBED","TOT","1000HAB","A","2021",7.76,
"GRC","HOSPITALBED","TOT","1000HAB","A","2019",4.18,
"GRC","HOSPITALBED","TOT","1000HAB","A","2020",4.23,
"GRC","HOSPITALBED","TOT","1000HAB","A","2021",4.27,
"HUN","HOSPITALBED","TOT","1000HAB","A","2019",6.91,
"HUN","HOSPITALBED","TOT","1000HAB","A","2020",6.76,
"HUN","HOSPITALBED","TOT","1000HAB","A","2021",6.79,
"ISL","HOSPITALBED","TOT","1000HAB","A","2019",2.8,
"ISL","HOSPITALBED","TOT","1000HAB","A","2020",2.84,
"IRL","HOSPITALBED","TOT","1000HAB","A","2019",2.88,
"IRL","HOSPITALBED","TOT","1000HAB","A","2020",2.89,
"IRL","HOSPITALBED","TOT","1000HAB","A","2021",2.89,
"ITA","HOSPITALBED","TOT","1000HAB","A","2019",3.16,
"ITA","HOSPITALBED","TOT","1000HAB","A","2020",3.19,
"ITA","HOSPITALBED","TOT","1000HAB","A","2021",3.12,
"JPN","HOSPITALBED","TOT","1000HAB","A","2019",12.84,
"JPN","HOSPITALBED","TOT","1000HAB","A","2020",12.63,
"JPN","HOSPITALBED","TOT","1000HAB","A","2021",12.62,
"KOR","HOSPITALBED","TOT","1000HAB","A","2019",12.43,
"KOR","HOSPITALBED","TOT","1000HAB","A","2020",12.65,
"KOR","HOSPITALBED","TOT","1000HAB","A","2021",12.77,
"LUX","HOSPITALBED","TOT","1000HAB","A","2019",4.26,"B"
"LUX","HOSPITALBED","TOT","1000HAB","A","2020",4.19,
"LUX","HOSPITALBED","TOT","1000HAB","A","2021",4.14,
"MEX","HOSPITALBED","TOT","1000HAB","A","2019",0.95,
"MEX","HOSPITALBED","TOT","1000HAB","A","2020",0.99,
"MEX","HOSPITALBED","TOT","1000HAB","A","2021",1,
"NLD","HOSPITALBED","TOT","1000HAB","A","2019",3.02,
"NLD","HOSPITALBED","TOT","1000HAB","A","2020",2.91,
"NLD","HOSPITALBED","TOT","1000HAB","A","2021",2.95,"B"
"NZL","HOSPITALBED","TOT","1000HAB","A","2019",2.54,
"NZL","HOSPITALBED","TOT","1000HAB","A","2020",2.49,
"NZL","HOSPITALBED","TOT","1000HAB","A","2021",2.67,
"NZL","HOSPITALBED","TOT","1000HAB","A","2022",2.57,
"NOR","HOSPITALBED","TOT","1000HAB","A","2019",3.47,
"NOR","HOSPITALBED","TOT","1000HAB","A","2020",3.4,
"NOR","HOSPITALBED","TOT","1000HAB","A","2021",3.4,
"POL","HOSPITALBED","TOT","1000HAB","A","2019",6.17,"B"
"POL","HOSPITALBED","TOT","1000HAB","A","2020",6.19,
"POL","HOSPITALBED","TOT","1000HAB","A","2021",6.27,
"PRT","HOSPITALBED","TOT","1000HAB","A","2019",3.51,
"PRT","HOSPITALBED","TOT","1000HAB","A","2020",3.5,
"PRT","HOSPITALBED","TOT","1000HAB","A","2021",3.5,"P"
"SVK","HOSPITALBED","TOT","1000HAB","A","2019",5.76,
"SVK","HOSPITALBED","TOT","1000HAB","A","2020",5.68,
"SVK","HOSPITALBED","TOT","1000HAB","A","2021",5.67,
"ESP","HOSPITALBED","TOT","1000HAB","A","2019",2.95,
"ESP","HOSPITALBED","TOT","1000HAB","A","2020",2.96,
"ESP","HOSPITALBED","TOT","1000HAB","A","2021",2.96,"P"
"SWE","HOSPITALBED","TOT","1000HAB","A","2019",2.07,
"SWE","HOSPITALBED","TOT","1000HAB","A","2020",2.05,
"SWE","HOSPITALBED","TOT","1000HAB","A","2021",2,
"CHE","HOSPITALBED","TOT","1000HAB","A","2019",4.59,
"CHE","HOSPITALBED","TOT","1000HAB","A","2020",4.48,
"CHE","HOSPITALBED","TOT","1000HAB","A","2021",4.43,
"TUR","HOSPITALBED","TOT","1000HAB","A","2019",2.88,
"TUR","HOSPITALBED","TOT","1000HAB","A","2020",3.01,
"TUR","HOSPITALBED","TOT","1000HAB","A","2021",3.02,
"GBR","HOSPITALBED","TOT","1000HAB","A","2019",2.45,"E"
"GBR","HOSPITALBED","TOT","1000HAB","A","2020",2.43,"E"
"GBR","HOSPITALBED","TOT","1000HAB","A","2021",2.42,"E"
"GBR","HOSPITALBED","TOT","1000HAB","A","2022",2.44,"E"
"USA","HOSPITALBED","TOT","1000HAB","A","2019",2.8,
"USA","HOSPITALBED","TOT","1000HAB","A","2020",2.78,
"USA","HOSPITALBED","TOT","1000HAB","A","2021",2.77,
"BRA","HOSPITALBED","TOT","1000HAB","A","2019",2.26,
"BRA","HOSPITALBED","TOT","1000HAB","A","2020",2.45,
"BRA","HOSPITALBED","TOT","1000HAB","A","2021",2.47,
